127.0.0.1 - - [09/Aug/2022:10:54:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:54:33 +0530] "GET /mvc/display.jsp HTTP/1.1" 500 2474
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:54:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:56:11 +0530] "GET /mvc/display.jsp HTTP/1.1" 500 2473
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:57:27 +0530] "GET /mvc/display.jsp HTTP/1.1" 500 2473
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:57:34 +0530] "GET /mvc/display.jsp HTTP/1.1" 500 2473
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:57:34 +0530] "GET /mvc/display.jsp HTTP/1.1" 500 2473
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:57:35 +0530] "GET /mvc/display.jsp HTTP/1.1" 500 2473
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:57:35 +0530] "GET /mvc/display.jsp HTTP/1.1" 500 2473
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:57:35 +0530] "GET /mvc/display.jsp HTTP/1.1" 500 2473
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:59:31 +0530] "GET /mvc/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:59:39 +0530] "GET /mvc/add?no1=10&no2= HTTP/1.1" 500 3515
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:59:43 +0530] "GET /mvc/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:59:43 +0530] "GET /mvc/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:59:43 +0530] "GET /mvc/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:59:43 +0530] "GET /mvc/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:59:44 +0530] "GET /mvc/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:59:44 +0530] "GET /mvc/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:59:44 +0530] "GET /mvc/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:59:44 +0530] "GET /mvc/index.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [09/Aug/2022:10:59:51 +0530] "GET /mvc/add?no1=10&no2=21 HTTP/1.1" 200 153
